 ,Label,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
3742,4D-U-Z4.tif,0.022,1.120,0.224,0.263,965,250,142.651,0.163,1.586,0.630,0.705
3743,4D-U-Z4.tif,0.013,0.805,0.257,0.204,634,274,51.582,0.121,1.709,0.585,0.710
3744,4D-U-Z4.tif,0.001,0.156,0.639,0.062,851,253,45.000,0.039,1.762,0.568,0.739
3745,4D-U-Z4.tif,0.002,0.186,0.726,0.063,860,252,37.875,0.052,1.148,0.871,0.820
3746,4D-U-Z4.tif,0.005,0.358,0.455,0.111,106,252,8.531,0.084,1.123,0.890,0.678
3747,4D-U-Z4.tif,0.002,0.200,0.573,0.067,44,253,9.462,0.054,1.136,0.880,0.714
3748,4D-U-Z4.tif,0.001,0.220,0.282,0.092,90,249,162.646,0.031,4.267,0.234,0.497
3749,4D-U-Z4.tif,0.005,0.372,0.494,0.119,400,247,103.392,0.085,1.518,0.659,0.763
3750,4D-U-Z4.tif,0.001,0.167,0.599,0.067,364,250,170.538,0.039,1.812,0.552,0.727
3751,4D-U-Z4.tif,0.001,0.139,0.712,0.054,470,249,156.038,0.034,1.681,0.595,0.800
3752,4D-U-Z4.tif,0.004,0.406,0.313,0.119,928,250,158.199,0.072,1.708,0.585,0.649
3753,4D-U-Z4.tif,0.001,0.141,0.847,0.060,950,255,33.690,0.037,1.581,0.633,0.854
3754,4D-U-Z4.tif,0.001,0.139,0.712,0.052,448,249,108.435,0.037,1.606,0.622,0.774
3755,4D-U-Z4.tif,0.002,0.203,0.656,0.070,603,250,161.565,0.055,1.325,0.755,0.763
3756,4D-U-Z4.tif,0.006,0.364,0.545,0.126,32,250,127.875,0.083,1.528,0.655,0.763
3757,4D-U-Z4.tif,0.002,0.230,0.491,0.072,179,252,147.529,0.059,1.195,0.837,0.687
3758,4D-U-Z4.tif,0.014,0.694,0.371,0.200,726,251,121.504,0.126,1.694,0.590,0.732
3759,4D-U-Z4.tif,0.002,0.161,0.766,0.070,232,261,45.000,0.039,1.853,0.540,0.825
3760,4D-U-Z4.tif,0.006,0.486,0.320,0.152,769,273,49.399,0.075,2.213,0.452,0.688
3761,4D-U-Z4.tif,0.004,0.305,0.554,0.113,134,252,133.025,0.059,1.918,0.521,0.761
3762,4D-U-Z4.tif,0.012,0.819,0.218,0.225,248,273,17.103,0.124,1.638,0.611,0.571
3763,4D-U-Z4.tif,0.001,0.158,0.690,0.060,793,252,123.690,0.038,1.697,0.589,0.796
3764,4D-U-Z4.tif,0.001,0.202,0.422,0.060,90,253,146.310,0.044,1.176,0.850,0.703
3765,4D-U-Z4.tif,0.001,0.164,0.693,0.072,220,254,147.529,0.036,2.323,0.431,0.797
3766,4D-U-Z4.tif,0.003,0.318,0.351,0.084,411,257,148.392,0.066,1.384,0.723,0.724
3767,4D-U-Z4.tif,0.001,0.137,0.846,0.052,858,253,108.435,0.034,1.566,0.638,0.857
3768,4D-U-Z4.tif,0.001,0.137,0.867,0.052,240,262,32.005,0.043,1.303,0.768,0.878
3769,4D-U-Z4.tif,0.005,0.442,0.339,0.153,833,255,154.359,0.076,1.778,0.562,0.633
3770,4D-U-Z4.tif,0.002,0.187,0.792,0.070,332,255,108.435,0.050,1.473,0.679,0.859
3771,4D-U-Z4.tif,0.002,0.159,0.823,0.060,100,256,146.310,0.044,1.163,0.860,0.853
3772,4D-U-Z4.tif,0.003,0.294,0.428,0.106,471,257,158.749,0.069,1.619,0.618,0.626
3773,4D-U-Z4.tif,0.001,0.209,0.417,0.084,372,267,31.608,0.034,2.941,0.340,0.676
3774,4D-U-Z4.tif,0.001,0.153,0.650,0.059,872,258,158.199,0.044,1.327,0.754,0.734
3775,4D-U-Z4.tif,0.005,0.326,0.648,0.108,948,270,23.962,0.085,1.323,0.756,0.796
3776,4D-U-Z4.tif,0.004,0.369,0.358,0.115,179,262,144.782,0.074,1.596,0.627,0.683
3777,4D-U-Z4.tif,0.005,0.398,0.360,0.117,347,259,109.290,0.075,1.758,0.569,0.676
3778,4D-U-Z4.tif,0.003,0.222,0.681,0.075,52,273,72.897,0.061,1.119,0.893,0.759
3779,4D-U-Z4.tif,0.002,0.206,0.663,0.072,614,262,171.254,0.059,1.473,0.679,0.759
3780,4D-U-Z4.tif,0.005,0.383,0.431,0.122,910,264,161.565,0.080,1.523,0.656,0.755
3781,4D-U-Z4.tif,0.002,0.161,0.987,0.059,73,263,158.199,0.050,1.140,0.877,0.893
3782,4D-U-Z4.tif,0.010,0.580,0.356,0.175,99,265,151.821,0.110,1.442,0.694,0.686
3783,4D-U-Z4.tif,0.002,0.175,0.721,0.070,468,261,128.660,0.043,1.735,0.576,0.829
3784,4D-U-Z4.tif,0.003,0.222,0.666,0.087,820,263,161.565,0.055,1.546,0.647,0.789
3785,4D-U-Z4.tif,0.002,0.178,0.735,0.064,450,265,160.017,0.047,1.198,0.835,0.762
3786,4D-U-Z4.tif,0.003,0.339,0.298,0.111,654,270,174.289,0.058,1.832,0.546,0.596
3787,4D-U-Z4.tif,0.004,0.270,0.682,0.094,155,272,28.072,0.066,1.354,0.739,0.865
3788,4D-U-Z4.tif,0.004,0.346,0.437,0.110,597,275,36.870,0.077,1.337,0.748,0.695
3789,4D-U-Z4.tif,0.005,0.290,0.767,0.111,877,267,153.435,0.076,1.386,0.721,0.833
3790,4D-U-Z4.tif,0.003,0.278,0.428,0.086,382,276,45.000,0.055,1.486,0.673,0.722
3791,4D-U-Z4.tif,0.001,0.154,0.719,0.057,136,266,163.301,0.043,1.275,0.785,0.769
3792,4D-U-Z4.tif,0.005,0.361,0.505,0.139,204,272,9.090,0.066,2.187,0.457,0.808
3793,4D-U-Z4.tif,0.004,0.281,0.558,0.091,539,280,64.983,0.068,1.501,0.666,0.768
3794,4D-U-Z4.tif,0.004,0.303,0.583,0.118,518,274,10.784,0.054,2.310,0.433,0.820
3795,4D-U-Z4.tif,0.002,0.220,0.619,0.079,782,274,12.095,0.047,1.631,0.613,0.819
